"Trinidad and Tobago","0.00","48902.00","148.00","0.00","0.00","0.00","49050.00","0.00","99.70","0.30","0.00","0.00","0.00"
"Tunisia","0.00","46158.00","1332.00","7.20","114.80","0.00","47612.00","0.00","96.95","2.80","0.02","0.24","0.00"
"Turkey","24846.00","23471.00","666.00","386.40","196.80","0.00","49566.20","50.13","47.35","1.34","0.78","0.40","0.00"
"Turkmenistan","0.00","49000.00","0.00","0.00","0.00","0.00","49000.00","0.00","100.00","0.00","0.00","0.00","0.00"
"Ukraine","31734.00","3430.00","74.00","112.80","36.90","583.20","35970.90","88.22","9.54","0.21","0.31","0.10","1.62"
"United Arab","0.00","48216.00","962.00","0.00","12.30","0.00","49190.30","0.00","98.02","1.96","0.00","0.03","0.00"
"United Kingdom","24928.00","14700.00","370.00","43.20","725.70","228.00","40994.90","60.81","35.86","0.90","0.11","1.77","0.56"
"United States","32554.00","13181.00","666.00","146.40","282.90","230.40","47060.70","69.17","28.01","1.42","0.31","0.60","0.49"
"Uruguay","0.00","0.00","6734.00","1780.80","688.80","0.00","9203.60","0.00","0.00","73.17","19.35","7.48","0.00"
"Uzbekistan","3362.00","36358.00","296.00","513.60","0.00","0.00","40529.60","8.30","89.71","0.73","1.27","0.00","0.00"
"Venezuela, RB","0.00","8673.00","10360.00","1639.20","0.00","0.00","20672.20","0.00","41.95","50.12","7.93","0.00","0.00"
"Vietnam","20090.00","16415.00","222.00","996.00","4.10","0.00","37727.10","53.25","43.51","0.59","2.64","0.01","0.00"
"Yemen, Rep.","0.00","18914.00","45436.00","0.00","0.00","0.00","64350.00","0.00","29.39","70.61","0.00","0.00","0.00"
"Zambia","0.00","0.00","2072.00","2332.80","0.00","0.00","4404.80","0.00","0.00","47.04","52.96","0.00","0.00"
"Zimbabwe","35998.00","0.00","370.00","1300.80","57.40","0.00","37726.20","95.42","0.00","0.98","3.45","0.15","0.00"
